id,title,tags,prereqs,difficulty,est_hours,resources,category
ai_fundamentals,Introduction to Artificial Intelligence,Artificial Intelligence;AI;fundamentals,,1,4,article:AI - Wikipedia|url:https://en.wikipedia.org/wiki/Artificial_intelligence|video:Intro to AI (freeCodeCamp)|url:https://www.youtube.com/watch?v=JMUxmLyrhSk|interactive:Google AI Experiments|url:https://experiments.withgoogle.com/collection/ai,Artificial Intelligence
ml_intro,Machine Learning Basics,Artificial Intelligence;Machine Learning;ml,ai_fundamentals,2,8,video:Machine Learning Crash Course (Google)|url:https://developers.google.com/machine-learning/crash-course|article:Hands-On ML overview (scikit-learn)|url:https://scikit-learn.org/stable/tutorial/index.html|interactive:Google Colab tutorial|url:https://colab.research.google.com/,Artificial Intelligence
nlp_intro,Natural Language Processing Basics,Artificial Intelligence;NLP,ml_intro,3,6,article:NLP - Wikipedia|url:https://en.wikipedia.org/wiki/Natural_language_processing|video:NLP Crash Course (freeCodeCamp)|url:https://www.youtube.com/watch?v=8uY2k1pGZqQ|interactive:NLTK book online|url:https://www.nltk.org/book/,Artificial Intelligence
dl_intro,Deep Learning Fundamentals,Artificial Intelligence;Deep Learning;neural networks,ml_intro,3,10,article:Deep learning (Wikipedia)|url:https://en.wikipedia.org/wiki/Deep_learning|video:Deep Learning Crash Course|url:https://www.youtube.com/watch?v=aircAruvnKk|interactive:TensorFlow tutorial|url:https://www.tensorflow.org/tutorials,Artificial Intelligence
web_html_css,HTML & CSS Basics,Web Development;HTML;CSS,,1,6,article:MDN HTML guide|url:https://developer.mozilla.org/en-US/docs/Learn/HTML|video:HTML & CSS Full Course (freeCodeCamp)|url:https://www.youtube.com/watch?v=mU6anWqZJcc|interactive:freeCodeCamp responsive web design|url:https://www.freecodecamp.org/learn/responsive-web-design/,Web Development
js_basics,JavaScript Essentials,Web Development;JavaScript;frontend,web_html_css,2,8,article:MDN JavaScript Guide|url:https://developer.mozilla.org/en-US/docs/Web/JavaScript/Guide|video:JavaScript Tutorial (freeCodeCamp)|url:https://www.youtube.com/watch?v=PkZNo7MFNFg|interactive:JSFiddle|url:https://jsfiddle.net/,Web Development
react_intro,React.js Fundamentals,Web Development;React;frontend,js_basics,3,10,article:React official docs|url:https://reactjs.org/docs/getting-started.html|video:React Crash Course (Traversy Media)|url:https://www.youtube.com/watch?v=w7ejDZ8SWv8|interactive:Create React App tutorial|url:https://create-react-app.dev/docs/getting-started/,Web Development
node_intro,Node.js & Backend Basics,Web Development;Node.js;backend,js_basics,3,9,article:Node.js Guide|url:https://nodejs.org/en/docs/guides/|video:Node.js Crash Course|url:https://www.youtube.com/watch?v=Oe421EPjeBE|interactive:Express tutorial|url:https://expressjs.com/en/starter/installing.html,Web Development
web_project,Full-stack Project: ToDo App,Web Development;Project;React,react_intro;node_intro,2,8,interactive:Build a ToDo App (freeCodeCamp)|url:https://www.freecodecamp.org/news/build-a-todo-app-react/|video:ToDo App tutorial|url:https://www.youtube.com/watch?v=H1elmMBnykA|article:Guide to full-stack apps|url:https://developer.mozilla.org/en-US/docs/Learn/Server-side,Web Development
biomaterials_intro,Biomaterials Overview,Biomaterials;Biomedical,,2,6,article:Biomaterials (Wikipedia)|url:https://en.wikipedia.org/wiki/Biomaterial|video:Intro to Biomaterials (MIT OCW)|url:https://www.youtube.com/watch?v=9sG3bm0Qe6g|article:Biomaterials review|url:https://www.sciencedirect.com/topics/materials-science/biomaterial,Biomaterials
tissue_engineering,Tissue Engineering Basics,Biomaterials;Tissue Engineering,biomaterials_intro,3,8,article:Tissue engineering (Wikipedia)|url:https://en.wikipedia.org/wiki/Tissue_engineering|video:Tissue Engineering Lecture (MIT OCW)|url:https://www.youtube.com/watch?v=2s9u0YHcZ7g|interactive:PubMed tutorial|url:https://pubmed.ncbi.nlm.nih.gov/,Biomaterials
biomaterials_methods,Characterization Methods,Biomaterials;Lab Techniques,biomaterials_intro,4,8,article:Material characterization overview|url:https://en.wikipedia.org/wiki/Material_characterization|video:Materials characterization techniques|url:https://www.youtube.com/watch?v=FfGq1KJY9sY|article:SEM basics|url:https://www.sciencedirect.com/topics/engineering/scanning-electron-microscopy,Biomaterials
biomaterials_app,Biomaterials Applications & Case Studies,Biomaterials;Applications,tissue_engineering,4,6,article:Biomaterials applications review|url:https://www.nature.com/subjects/biomaterials|video:Case studies in biomaterials|url:https://www.youtube.com/watch?v=QeZ1s5q6fdY|article:Clinical translations|url:https://www.ncbi.nlm.nih.gov/pmc/,Biomaterials
medical_imaging_intro,Introduction to Medical Imaging,Medical Imaging;Radiology,,2,6,article:Medical imaging (Wikipedia)|url:https://en.wikipedia.org/wiki/Medical_imaging|video:Medical Imaging Basics|url:https://www.youtube.com/watch?v=3r3vGxW6aXw|interactive:Radiopaedia case studies|url:https://radiopaedia.org/,Medical Imaging
image_processing,Image Processing & Analysis,Medical Imaging;Image Processing;Computer Vision,medical_imaging_intro,3,10,article:Digital Image Processing summary|url:https://en.wikipedia.org/wiki/Digital_image_processing|video:OpenCV tutorial|url:https://www.youtube.com/watch?v=oXlwWbU8l2o|interactive:OpenCV docs|url:https://opencv.org/,Medical Imaging
dicom_intro,DICOM & PACS Basics,Medical Imaging;DICOM,medical_imaging_intro,3,6,article:DICOM standard|url:https://en.wikipedia.org/wiki/DICOM|video:DICOM tutorial|url:https://www.youtube.com/watch?v=6bZq3v3c8mM|interactive:OHIF Viewer demo|url:https://ohif.org/,Medical Imaging
medical_ml,ML for Medical Imaging,Medical Imaging;Machine Learning;AI,image_processing,4,10,article:Medical imaging & ML review|url:https://www.nature.com/articles/s41551-020-00560-1|video:Deep learning for medical imaging|url:https://www.youtube.com/watch?v=Gf2n6Y8xG6k|interactive:MONAI tutorials|url:https://monai.io/,Medical Imaging
bioinformatics_intro,Bioinformatics Fundamentals,Bioinformatics;Biology;Data,,2,8,article:Bioinformatics (Wikipedia)|url:https://en.wikipedia.org/wiki/Bioinformatics|video:Bioinformatics for Beginners|url:https://www.youtube.com/watch?v=Us1jv8C8AX0|interactive:NCBI tutorials|url:https://www.ncbi.nlm.nih.gov/home/tutorials/,Bioinformatics Biotechnology
seq_analysis,Sequence Analysis Basics,Bioinformatics;Genomics,bioinformatics_intro,3,10,article:Sequence analysis overview|url:https://en.wikipedia.org/wiki/Sequence_analysis|video:BLAST tutorial|url:https://www.youtube.com/watch?v=4x6pP9gQ8vE|interactive:NCBI BLAST|url:https://blast.ncbi.nlm.nih.gov/Blast.cgi,Bioinformatics Biotechnology
genomics_tools,Genomics Tools & Pipelines,Bioinformatics;Pipelines,seq_analysis,4,12,article:Genomics pipelines overview|url:https://en.wikipedia.org/wiki/Bioinformatics_pipeline|video:Nextflow tutorial|url:https://www.youtube.com/watch?v=KJfQJ6Vf9lA|interactive:Galaxy Project|url:https://usegalaxy.org/,Bioinformatics Biotechnology
bioinformatics_project,Bioinformatics Project: Variant Calling,Bioinformatics;Project,genomics_tools,4,12,interactive:Variant calling tutorial|url:https://galaxyproject.org/tutorials/|video:Variant calling walkthrough|url:https://www.youtube.com/watch?v=3dQz1gKz8KQ|article:Practical guide|url:https://www.nature.com/articles/nrg.2016.115,Bioinformatics Biotechnology
nanotech_intro,Nanobiotechnology Overview,Nanobiotechnology;Nanotech,,3,6,article:Nanobiotechnology (Wikipedia)|url:https://en.wikipedia.org/wiki/Nanobiotechnology|video:Nano basics|url:https://www.youtube.com/watch?v=F1QJg0BfQ2o|article:Review (Nature)|url:https://www.nature.com/subjects/nanobiotechnology,Nanobiotechnology
nanomaterials,Nanomaterials & Synthesis,Nanotech;Materials,nanotech_intro,4,9,article:Nanomaterials overview|url:https://en.wikipedia.org/wiki/Nanomaterial|video:Nanomaterials synthesis|url:https://www.youtube.com/watch?v=1FVq4YQxI3s|article:Lab techniques|url:https://www.sciencedirect.com/topics/materials-science/nanomaterial,Nanobiotechnology
nano_bio_app,Nanobiotech Applications,Nanobiotechnology;Applications,nanotech_intro,4,8,article:Applications review|url:https://www.sciencedirect.com/topics/chemistry/nanobiotechnology|video:Applications in medicine|url:https://www.youtube.com/watch?v=6Ue8Qf8sJ3E|interactive:Research collections|url:https://www.nature.com/collections/,Nanobiotechnology
agri_renewable,Renewable Energy in Agriculture,Renewable Energy;Agriculture,,2,8,article:Renewable energy in agriculture|url:https://en.wikipedia.org/wiki/Renewable_energy_in_agriculture|video:Solar for farming|url:https://www.youtube.com/watch?v=0w2o2cKf6q8|interactive:FAO resources|url:http://www.fao.org/home/en/,Renewable Energy in Agriculture
solar_farming,Solar PV for Farms,Renewable Energy;Solar,agri_renewable,3,8,article:Solar for agriculture paper|url:https://www.nrel.gov/docs/fy20osti/75777.pdf|video:Solar PV basics|url:https://www.youtube.com/watch?v=JX1VtF6Qh8Y|interactive:PVWatts|url:https://pvwatts.nrel.gov/,Renewable Energy in Agriculture
bioenergy,Bioenergy & Waste-to-Energy,Renewable Energy;Bioenergy,agri_renewable,3,9,article:Bioenergy for agriculture|url:https://en.wikipedia.org/wiki/Bioenergy|video:Bioenergy overview|url:https://www.youtube.com/watch?v=5e3GmZzGx4s|interactive:IEA Bioenergy|url:https://www.ieabioenergy.com/,Renewable Energy in Agriculture
geoinfo_intro,Introduction to Geoinformatics,Geoinformatics;Remote Sensing;GIS,,2,8,article:GIS overview|url:https://en.wikipedia.org/wiki/Geographic_information_system|video:GIS basics|url:https://www.youtube.com/watch?v=kk5v7a3LhgA|interactive:QGIS tutorials|url:https://qgis.org/en/docs/index.html,Geoinformatics and Remote Sensing in Agriculture
remote_sensing,Remote Sensing Techniques,Remote Sensing;Geoinformatics,geoinfo_intro,3,10,article:Remote sensing overview|url:https://en.wikipedia.org/wiki/Remote_sensing|video:Remote Sensing Course (NASA)|url:https://www.youtube.com/watch?v=8Vq1G7Sx9x8|interactive:USGS EarthExplorer|url:https://earthexplorer.usgs.gov/,Geoinformatics and Remote Sensing in Agriculture
spatial_analysis,Spatial Analysis & GIS,GIS;Spatial Analysis,geoinfo_intro,3,9,article:Spatial analysis overview|url:https://en.wikipedia.org/wiki/Spatial_analysis|video:Spatial analysis with QGIS|url:https://www.youtube.com/watch?v=J-VXoKpJqzU|interactive:GeoPandas tutorial|url:https://geopandas.org/,Geoinformatics and Remote Sensing in Agriculture
food_micro_intro,Food Microbiology Basics,Food Microbiology;Food Safety,,2,6,article:Food microbiology|url:https://en.wikipedia.org/wiki/Food_microbiology|video:Food safety basics (WHO)|url:https://www.youtube.com/watch?v=6sQqYg8w9UM|interactive:FDA food safety resources|url:https://www.fda.gov/food,Food Microbiology and Safety
pathogen_detection,Pathogen Detection Methods,Food Microbiology;Lab,food_micro_intro,4,10,article:Food pathogen detection|url:https://www.ncbi.nlm.nih.gov/pmc/articles/PMC/|video:Lab techniques overview|url:https://www.youtube.com/watch?v=3XQy9y9b0Gk|interactive:Protocols.io examples|url:https://www.protocols.io/,Food Microbiology and Safety
food_processing,Principles of Food Processing,Food Processing;Technology,food_micro_intro,3,8,article:Food processing overview|url:https://en.wikipedia.org/wiki/Food_processing|video:Food processing technologies|url:https://www.youtube.com/watch?v=7Vw3Xv1QJ2I|interactive:FAO food processing resources|url:http://www.fao.org/food-processing/en/,Emerging Areas in Food Processing
emerging_food_intro,Emerging Tech in Food Processing,Food Processing;Emerging,,3,6,article:Emerging food processing|url:https://www.sciencedirect.com/topics/food-science/emerging-food-processing-technologies|video:Emerging food tech overview|url:https://www.youtube.com/watch?v=7y2k9W8bQ2s|interactive:Industry reports|url:https://www.fao.org/,Emerging Areas in Food Processing
hi_pressure_processing,High Pressure Processing (HPP),Food Processing;HPP,emerging_food_intro,4,8,article:HPP overview|url:https://en.wikipedia.org/wiki/High-pressure_processing|video:HPP explained|url:https://www.youtube.com/watch?v=0G8Yh4g0Kz0|interactive:Equipment vendor pages|url:https://www.jbtfoodtech.com/,Emerging Areas in Food Processing
python_basics,Python for Data & AI,Python;Programming,,1,6,article:Python official tutorial|url:https://docs.python.org/3/tutorial/|video:Python Full Course|url:https://www.youtube.com/watch?v=rfscVS0vtbw|interactive:Google Colab|url:https://colab.research.google.com/,Computer Science
data_structures,Core Data Structures,Computer Science;DS;Algorithms,python_basics,2,8,article:Data structures basics|url:https://www.geeksforgeeks.org/data-structures/|video:Data Structures Crash Course|url:https://www.youtube.com/watch?v=bum_19loj9A|interactive:VisualAlgo|url:https://visualgo.net/en,Computer Science
algorithms_sort,Sorting & Searching Algorithms,Algorithms;DS,data_structures,3,8,article:Sorting algorithm|url:https://en.wikipedia.org/wiki/Sorting_algorithm|video:Sorting Algorithms Explained|url:https://www.youtube.com/watch?v=ZZuD6iUe3Pc|interactive:Algorithm visualizer|url:https://algorithm-visualizer.org/,Computer Science
